100_Libre_masc
3,"ARIAS FRANCO, ODEI",22234,"PONTON RODRIGUEZ, JAVIER",22406,8.55,80.0,5,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
4,"CONDE VARELA, DAVID",21627,"MARTINEZ ARGIZ, DAVID",23588,8.25,75.0,5,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
5,"ARIAS FRANCO, ODEI",22234,"MARTINEZ ARGIZ, DAVID",23588,7.95,75.0,5,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
6,"CONDE VARELA, DAVID",21627,"REGUEIRA MOURE, ANDER",25043,7.5,74.28571428571429,4,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
7,"ARIAS FRANCO, ODEI",22234,"REGUEIRA MOURE, ANDER",25043,7.2,73.57142857142858,4,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
8,"PONTON RODRIGUEZ, JAVIER",22406,"MARTINEZ ARGIZ, DAVID",23588,7.15,75.0,5,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
9,"PONTON RODRIGUEZ, JAVIER",22406,"REGUEIRA MOURE, ANDER",25043,6.4,70.0,4,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
10,"MARTINEZ ARGIZ, DAVID",23588,"REGUEIRA MOURE, ANDER",25043,5.75,64.28571428571429,4,"(('PÉREZ LORENZO, MANUEL', 21358.0), ('BRIÓN SAMPEDRO, CARLOS', 23904.0))","(('MENDEZ PUGA, MARIO', 20285.0), ('ALONSO GATO, OSCAR', 21234.0))"
200_Braza_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"CONDE VARELA, DAVID",23443,"SUAREZ FERNÁNDEZ, SANTIAGO",24153,9.044444444444444,76.44444444444444,5,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
2,"CONDE VARELA, DAVID",23443,"MARTINEZ ARGIZ, DAVID",25669,8.444444444444445,68.44444444444444,5,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
3,"SUAREZ FERNÁNDEZ, SANTIAGO",24153,"MARTINEZ ARGIZ, DAVID",25669,7.881481481481481,68.44444444444444,5,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
4,"CONDE VARELA, DAVID",23443,"PONTON RODRIGUEZ, JAVIER",32138,7.377777777777778,65.33333333333333,4,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
5,"CONDE VARELA, DAVID",23443,"LOSADA TORRES, ISAAC",32288,7.377777777777778,65.33333333333333,4,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
6,"CONDE VARELA, DAVID",23443,"REGUEIRA MOURE, ANDER",33788,7.044444444444444,63.55555555555556,4,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
7,"SUAREZ FERNÁNDEZ, SANTIAGO",24153,"PONTON RODRIGUEZ, JAVIER",32138,6.814814814814815,63.70370370370371,4,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
8,"SUAREZ FERNÁNDEZ, SANTIAGO",24153,"LOSADA TORRES, ISAAC",32288,6.814814814814815,63.70370370370371,4,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
9,"SUAREZ FERNÁNDEZ, SANTIAGO",24153,"REGUEIRA MOURE, ANDER",33788,6.481481481481482,59.25925925925925,4,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
10,"MARTINEZ ARGIZ, DAVID",25669,"PONTON RODRIGUEZ, JAVIER",32138,6.0814814814814815,60.14814814814815,4,"(('PÉREZ LORENZO, MANUEL', 22432.0), ('MARTINEZ CAMPAÑA, MARIO', 30070.0))","(('MENDEZ PUGA, MARIO', 22270.0), ('BOUZA PADRON, ADRIAN', 22511.0))"
50_Braza_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"CONDE VARELA, DAVID",3146,"SUAREZ FERNÁNDEZ, SANTIAGO",3216,10.64,89.9753086419753,6,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
2,"CONDE VARELA, DAVID",3146,"PONTON RODRIGUEZ, JUAN",3364,10.04,83.4567901234568,6,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
3,"SUAREZ FERNÁNDEZ, SANTIAGO",3216,"PONTON RODRIGUEZ, JUAN",3364,9.697777777777778,83.4567901234568,5,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
4,"CONDE VARELA, DAVID",3146,"MARTINEZ ARGIZ, DAVID",3528,9.44,81.62962962962963,5,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
5,"SUAREZ FERNÁNDEZ, SANTIAGO",3216,"MARTINEZ ARGIZ, DAVID",3528,9.097777777777777,81.33333333333333,4,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
6,"CONDE VARELA, DAVID",3146,"REGUEIRA MOURE, ANDER",3978,8.24,78.2716049382716,5,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
7,"PONTON RODRIGUEZ, JUAN",3364,"MARTINEZ ARGIZ, DAVID",3528,8.177777777777777,80.14814814814815,4,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
8,"SUAREZ FERNÁNDEZ, SANTIAGO",3216,"REGUEIRA MOURE, ANDER",3978,7.897777777777778,76.74074074074075,4,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
9,"PONTON RODRIGUEZ, JUAN",3364,"REGUEIRA MOURE, ANDER",3978,6.977777777777778,70.37037037037037,4,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
10,"MARTINEZ ARGIZ, DAVID",3528,"REGUEIRA MOURE, ANDER",3978,6.262222222222222,45.925925925925924,3,"(('PÉREZ LORENZO, MANUEL', 2911.0), ('ALVES RIVAS, CARLOS', 3483.0))","(('GANDARA DIEZ, ADRIAN', 3047.0), ('BOUZA PADRON, ADRIAN', 3200.0))"
400_Estilos_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"CONDE VARELA, DAVID",50410,"ARIAS FRANCO, ODEI",51733,6.274074074074074,34.81481481481482,4,"(('PÉREZ LORENZO, MANUEL', 45037.0), ('SANLÉS DIESTE, HUGO', 51640.0))","(('MENDEZ PUGA, MARIO', 41490.0), ('BOUZA PADRON, ADRIAN', 44367.0))"
50_Libre_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"PONTON RODRIGUEZ, JAVIER",2351,"PONTON RODRIGUEZ, JUAN",2463,11.4,100.0,9,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
2,"PONTON RODRIGUEZ, JAVIER",2351,"PEREZ TIERRA, ISMAEL",2496,11.4,100.0,9,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
3,"PONTON RODRIGUEZ, JUAN",2463,"PEREZ TIERRA, ISMAEL",2496,10.297777777777778,84.54320987654322,5,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
4,"PONTON RODRIGUEZ, JAVIER",2351,"BALLESTER IBAÑEZ, EDGAR",2593,9.8,93.08641975308643,8,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
5,"PONTON RODRIGUEZ, JAVIER",2351,"CONDE VARELA, DAVID",2598,9.8,93.08641975308643,8,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
6,"PONTON RODRIGUEZ, JAVIER",2351,"ARIAS FRANCO, ODEI",2611,9.4,88.44444444444444,8,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
7,"PONTON RODRIGUEZ, JAVIER",2351,"LOPEZ RODRIGUEZ, HUGO",2654,9.0,86.86419753086419,8,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
8,"PONTON RODRIGUEZ, JUAN",2463,"BALLESTER IBAÑEZ, EDGAR",2593,8.697777777777778,64.29629629629629,4,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
9,"PONTON RODRIGUEZ, JUAN",2463,"CONDE VARELA, DAVID",2598,8.697777777777778,64.29629629629629,4,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
10,"PEREZ TIERRA, ISMAEL",2496,"BALLESTER IBAÑEZ, EDGAR",2593,8.697777777777778,64.29629629629629,4,"(('PÉREZ LORENZO, MANUEL', 2452.0), ('TOME SANLES, MANUEL', 2457.0))","(('ALONSO GATO, OSCAR', 2411.0), ('MENDEZ PUGA, MARIO', 2501.0))"
200_Mari_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"CONDE VARELA, DAVID",23370,"ARIAS FRANCO, ODEI",23613,3.2,0.0,3,"(('SANLÉS DIESTE, HUGO', 21652.0), ('PÉREZ LORENZO, MANUEL', 23340.0))","(('MENDEZ PUGA, MARIO', 20354.0), ('BOUZA PADRON, ADRIAN', 21176.0))"
2,"CONDE VARELA, DAVID",23370,"MARTINEZ ARGIZ, DAVID",24179,3.2,0.0,3,"(('SANLÉS DIESTE, HUGO', 21652.0), ('PÉREZ LORENZO, MANUEL', 23340.0))","(('MENDEZ PUGA, MARIO', 20354.0), ('BOUZA PADRON, ADRIAN', 21176.0))"
3,"CONDE VARELA, DAVID",23370,"BELTRAN DIAZ, EMILIO",24582,3.2,0.0,3,"(('SANLÉS DIESTE, HUGO', 21652.0), ('PÉREZ LORENZO, MANUEL', 23340.0))","(('MENDEZ PUGA, MARIO', 20354.0), ('BOUZA PADRON, ADRIAN', 21176.0))"
4,"CONDE VARELA, DAVID",23370,"SUAREZ FERNÁNDEZ, SANTIAGO",25809,3.2,0.0,3,"(('SANLÉS DIESTE, HUGO', 21652.0), ('PÉREZ LORENZO, MANUEL', 23340.0))","(('MENDEZ PUGA, MARIO', 20354.0), ('BOUZA PADRON, ADRIAN', 21176.0))"
5,"CONDE VARELA, DAVID",23370,"PONTON RODRIGUEZ, JAVIER",30634,3.2,0.0,3,"(('SANLÉS DIESTE, HUGO', 21652.0), ('PÉREZ LORENZO, MANUEL', 23340.0))","(('MENDEZ PUGA, MARIO', 20354.0), ('BOUZA PADRON, ADRIAN', 21176.0))"
6,"ARIAS FRANCO, ODEI",23613,"MARTINEZ ARGIZ, DAVID",24179,3.0,0.0,3,"(('SANLÉS DIESTE, HUGO', 21652.0), ('PÉREZ LORENZO, MANUEL', 23340.0))","(('MENDEZ PUGA, MARIO', 20354.0), ('BOUZA PADRON, ADRIAN', 21176.0))"
7,"ARIAS FRANCO, ODEI",23613,"BELTRAN DIAZ, EMILIO",24582,3.0,0.0,3,"(('SANLÉS DIESTE, HUGO', 21652.0), ('PÉREZ LORENZO, MANUEL', 23340.0))","(('MENDEZ PUGA, MARIO', 20354.0), ('BOUZA PADRON, ADRIAN', 21176.0))"
8,"ARIAS FRANCO, ODEI",23613,"SUAREZ FERNÁNDEZ, SANTIAGO",25809,3.0,0.0,3,"(('SANLÉS DIESTE, HUGO', 21652.0), ('PÉREZ LORENZO, MANUEL', 23340.0))","(('MENDEZ PUGA, MARIO', 20354.0), ('BOUZA PADRON, ADRIAN', 21176.0))"
9,"ARIAS FRANCO, ODEI",23613,"PONTON RODRIGUEZ, JAVIER",30634,3.0,0.0,3,"(('SANLÉS DIESTE, HUGO', 21652.0), ('PÉREZ LORENZO, MANUEL', 23340.0))","(('MENDEZ PUGA, MARIO', 20354.0), ('BOUZA PADRON, ADRIAN', 21176.0))"
10,"MARTINEZ ARGIZ, DAVID",24179,"BELTRAN DIAZ, EMILIO",24582,3.0,0.0,3,"(('SANLÉS DIESTE, HUGO', 21652.0), ('PÉREZ LORENZO, MANUEL', 23340.0))","(('MENDEZ PUGA, MARIO', 20354.0), ('BOUZA PADRON, ADRIAN', 21176.0))"
100_Braza_masc
Nº,Nadador 1,Tiempo1,Nadador 2,Tiempo2,Puntuación media,Porcentaje de victorias al BOIRO,Puntuación mínima conseguida,Combinación BOIRO para puntuación mínima,Combinación RIAS para puntuación mínima
1,"CONDE VARELA, DAVID",10865,"SUAREZ FERNÁNDEZ, SANTIAGO",11421,9.497777777777777,83.25925925925925,4,"(('PÉREZ LORENZO, MANUEL', 10350.0), ('ALVES RIVAS, CARLOS', 11351.0))","(('GANDARA DIEZ, ADRIAN', 10694.0), ('BOUZA PADRON, ADRIAN', 10762.0))"
2,"CONDE VARELA, DAVID",10865,"PONTON RODRIGUEZ, JUAN",11848,8.897777777777778,80.19753086419753,4,"(('PÉREZ LORENZO, MANUEL', 10350.0), ('ALVES RIVAS, CARLOS', 11351.0))","(('GANDARA DIEZ, ADRIAN', 10694.0), ('BOUZA PADRON, ADRIAN', 10762.0))"
3,"CONDE VARELA, DAVID",10865,"MARTINEZ ARGIZ, DAVID",11934,8.897777777777778,80.19753086419753,4,"(('PÉREZ LORENZO, MANUEL', 10350.0), ('ALVES RIVAS, CARLOS', 11351.0))","(('GANDARA DIEZ, ADRIAN', 10694.0), ('BOUZA PADRON, ADRIAN', 10762.0))"
4,"SUAREZ FERNÁNDEZ, SANTIAGO",11421,"PONTON RODRIGUEZ, JUAN",11848,7.738271604938272,69.03703703703704,3,"(('PÉREZ LORENZO, MANUEL', 10350.0), ('ALVES RIVAS, CARLOS', 11351.0))","(('GANDARA DIEZ, ADRIAN', 10694.0), ('BOUZA PADRON, ADRIAN', 10762.0))"
5,"SUAREZ FERNÁNDEZ, SANTIAGO",11421,"MARTINEZ ARGIZ, DAVID",11934,7.738271604938272,69.03703703703704,3,"(('PÉREZ LORENZO, MANUEL', 10350.0), ('ALVES RIVAS, CARLOS', 11351.0))","(('GANDARA DIEZ, ADRIAN', 10694.0), ('BOUZA PADRON, ADRIAN', 10762.0))"
6,"CONDE VARELA, DAVID",10865,"REGUEIRA MOURE, ANDER",13264,7.697777777777778,75.30864197530865,4,"(('PÉREZ LORENZO, MANUEL', 10350.0), ('ALVES RIVAS, CARLOS', 11351.0))","(('GANDARA DIEZ, ADRIAN', 10694.0), ('BOUZA PADRON, ADRIAN', 10762.0))"
7,"PONTON RODRIGUEZ, JUAN",11848,"MARTINEZ ARGIZ, DAVID",11934,7.0311111111111115,60.34567901234568,3,"(('PÉREZ LORENZO, MANUEL', 10350.0), ('ALVES RIVAS, CARLOS', 11351.0))","(('GANDARA DIEZ, ADRIAN', 10694.0), ('BOUZA PADRON, ADRIAN', 10762.0))"
